dataset,portfolio,model,alpha,seed,test_loss,coverage_rate,coverage_error,avg_exceedance_loss,mean_var,mean_es,uc_stat,uc_p_value,cc_stat,cc_p_value,n_train,n_val,n_test,n_total,date_start,date_end,var_perm_mean_drift,var_perm_max_drift,es_perm_mean_drift,es_perm_max_drift,n_perm,run_dir
industry12,vol_scaled,flatten_mlp,0.01,789.0,0.00035534753814476345,0.021788990825688075,0.011788990825688074,0.005880629178136587,-0.019514359533786774,-0.02304196171462536,82.42248568940795,0.0,132.2698078947958,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004191890358924866,0.09088257700204849,0.004816469736397266,0.08799338340759277,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.01__seed_789
industry12,vol_scaled,flatten_mlp,0.05,1024.0,0.001030636803405103,0.07810907237512742,0.028109072375127414,0.00509167043492198,-0.011655192822217941,-0.014403658919036388,112.29058235720458,0.0,134.17597119417678,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004401952028274536,0.08298614621162415,0.0053502279333770275,0.09180169552564621,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.05__seed_1024
industry12,vol_scaled,flatten_mlp,0.05,123.0,0.0010375651456396666,0.06230886850152905,0.012308868501529048,0.005238906480371952,-0.013139833696186543,-0.018069447949528694,23.296043507237755,1.3888540905115931e-06,37.94084972355677,5.770974587093747e-09,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004246102180331945,0.1560455560684204,0.005864514037966728,0.21147184073925018,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.05__seed_123
industry12,vol_scaled,flatten_mlp,0.05,42.0,0.0010614426776070895,0.07492354740061162,0.024923547400611618,0.005400640424340963,-0.012098086066544056,-0.01638481765985489,89.60468092045267,0.0,140.3162221264647,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.0037860290613025427,0.10823257267475128,0.0049353716894984245,0.10435552895069122,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.05__seed_42
industry12,vol_scaled,flatten_mlp,0.05,456.0,0.0010681983469045559,0.08651885830784914,0.036518858307849136,0.005281931720674038,-0.0112084299325943,-0.013809776864945889,182.6060154375673,0.0,208.55549246449118,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.004733771085739136,0.08214409649372101,0.005346217192709446,0.08406346291303635,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.05__seed_456
industry12,vol_scaled,flatten_mlp,0.05,789.0,0.0010650548603927772,0.09658511722731906,0.04658511722731906,0.005098846275359392,-0.010421776212751865,-0.012708642520010471,285.1652750936437,0.0,335.8867254460729,0.0,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,0.003425480565056205,0.06967654824256897,0.003966465126723051,0.08458300679922104,100.0,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.05__seed_789
industry12,vol_scaled,historical_sim,0.01,,,0.01607142857142857,0.00607142857142857,0.009760063696086506,-0.02992382480631554,-0.034711514129232054,12.327964321467903,0.0004462227600792179,24.533954189858036,4.704565701452168e-06,,,3920,26130,,,,,,,,artifacts\industry12__vol_scaled__historical_sim__alpha_0.01
industry12,vol_scaled,historical_sim,0.05,,,0.05178571428571429,0.0017857142857142863,0.008932864114424576,-0.01646514540679723,-0.024204186093559878,0.26024199016455896,0.6099539530694428,18.993976406572983,7.507760821146015e-05,,,3920,26130,,,,,,,,artifacts\industry12__vol_scaled__historical_sim__alpha_0.05
industry12,vol_scaled,set_attention,0.01,1024.0,0.00032808931574861974,0.008792048929663608,0.0012079510703363917,0.007221485488116741,-0.023584919050335884,-0.029380837455391884,1.205813473902026,0.272162840475065,1.4231694616200912,0.4908656907783582,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,7.819964675803703e-10,5.960464477539063e-08,1.145233685662106e-09,5.960464477539063e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.01__seed_1024
industry12,vol_scaled,set_attention,0.01,123.0,0.0003268822859870659,0.013761467889908258,0.0037614678899082574,0.005846553947776556,-0.02215396985411644,-0.028550274670124054,10.038383416620263,0.0015331168922272376,15.377873528726923,0.0004578647311244133,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,7.483321740053839e-10,4.470348358154297e-08,1.1425446144741613e-09,4.470348358154297e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.01__seed_123
industry12,vol_scaled,set_attention,0.01,42.0,0.00032551582783050495,0.011085626911314985,0.0010856269113149845,0.005591139197349548,-0.02449945919215679,-0.03037777543067932,0.9025351791742651,0.3421028448042016,66.32940318993906,3.9968028886505635e-15,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,9.594651739774918e-10,2.9802322387695312e-08,1.3515047969647753e-09,2.9802322387695312e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.01__seed_42
industry12,vol_scaled,set_attention,0.01,456.0,0.000332444220069662,0.017201834862385322,0.007201834862385322,0.005532781593501568,-0.02069910801947117,-0.027939172461628914,33.82852000450066,6.018998965906519e-09,51.859293361523214,5.481504139481785e-12,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27,8.152549746398563e-10,4.470348358154297e-08,1.2946950178616135e-09,4.470348358154297e-08,100.0,artifacts\industry12__vol_scaled__set_attention__alpha_0.01__seed_456
